timestamp,log_type,message,stacktrace
841.2303,Log,rightTurn was pressed.,
841.7302,Log,rightTurn was pressed.,
846.6457,Log,rightTurn was pressed.,
847.2122,Log,forwardKey was pressed.,
852.0443,Log,forwardKey was pressed.,
852.3609,Log,Confirm button pressed: trial26,
853.5106,Log,forwardKey was pressed.,
856.2433,Log,forwardKey was pressed.,
856.5099,Log,leftTurn was pressed.,
856.8765,Log,leftTurn was pressed.,
857.1431,Log,forwardKey was pressed.,
859.3925,Log,forwardKey was pressed.,
859.6591,Log,leftTurn was pressed.,
860.1423,Log,leftTurn was pressed.,
860.259,Log,forwardKey was pressed.,
862.34,Log,Object Picked Up!,
862.34,Log,End of trial 26,
862.34,Log,Start of ITI period of trial26,
863.3915,Log,End of ITI period of trial26,
863.3915,Log,Cue start of trial 27,
865.4077,Log,Cue end of trial 27,
865.4077,Log,Start of delay period of trial 27,
869.4234,Log,End of delay period of trial 27,
869.8233,Log,rightTurn was pressed.,
877.0715,Log,rightTurn was pressed.,
881.0039,Log,leftTurn was pressed.,
884.3198,Log,leftTurn was pressed.,
884.7697,Log,forwardKey was pressed.,
887.0858,Log,forwardKey was pressed.,
887.519,Log,rightTurn was pressed.,
890.8015,Log,rightTurn was pressed.,
892.1345,Log,leftTurn was pressed.,
898.533,Log,leftTurn was pressed.,
899.8993,Log,rightTurn was pressed.,
904.2316,Log,rightTurn was pressed.,
904.6981,Log,rightTurn was pressed.,
905.7479,Log,rightTurn was pressed.,
906.531,Log,forwardKey was pressed.,
908.3805,Log,forwardKey was pressed.,
909.2137,Log,leftTurn was pressed.,
914.429,Log,leftTurn was pressed.,
915.3121,Log,Confirm button pressed: trial27,
915.9954,Log,rightTurn was pressed.,
919.0945,Log,rightTurn was pressed.,
919.8444,Log,rightTurn was pressed.,
920.2443,Log,rightTurn was pressed.,
920.5609,Log,leftTurn was pressed.,
920.9941,Log,leftTurn was pressed.,
921.3607,Log,forwardKey was pressed.,
928.7255,Log,forwardKey was pressed.,
929.1588,Log,rightTurn was pressed.,
929.592,Log,rightTurn was pressed.,
930.1585,Log,forwardKey was pressed.,
931.1249,Log,forwardKey was pressed.,
932.2247,Log,forwardKey was pressed.,
934.5741,Log,forwardKey was pressed.,
935.2239,Log,leftTurn was pressed.,
938.8896,Log,leftTurn was pressed.,
939.4729,Log,leftTurn was pressed.,
939.7728,Log,leftTurn was pressed.,
940.0228,Log,forwardKey was pressed.,
940.18,Log,Object Picked Up!,
940.18,Log,End of trial 27,
940.18,Log,Start of ITI period of trial27,
941.2725,Log,End of ITI period of trial27,
941.2725,Log,Cue start of trial 28,
943.322,Log,Cue end of trial 28,
943.322,Log,Start of delay period of trial 28,
947.3376,Log,End of delay period of trial 28,
947.7542,Log,leftTurn was pressed.,
950.5368,Log,leftTurn was pressed.,
950.9701,Log,leftTurn was pressed.,
959.118,Log,leftTurn was pressed.,
959.5346,Log,forwardKey was pressed.,
961.0343,Log,forwardKey was pressed.,
961.2842,Log,rightTurn was pressed.,
966.4829,Log,rightTurn was pressed.,
966.9995,Log,Confirm button pressed: trial28,
967.9825,Log,leftTurn was pressed.,
969.9654,Log,leftTurn was pressed.,
971.0984,Log,leftTurn was pressed.,
971.3651,Log,leftTurn was pressed.,
971.765,Log,forwardKey was pressed.,
973.6979,Log,forwardKey was pressed.,
974.0477,Log,rightTurn was pressed.,
974.3643,Log,rightTurn was pressed.,
974.9808,Log,forwardKey was pressed.,
977.68,Log,Object Picked Up!,
977.68,Log,End of trial 28,
977.68,Log,Start of ITI period of trial28,
978.7299,Log,End of ITI period of trial28,
978.7299,Log,Cue start of trial 29,
980.7627,Log,Cue end of trial 29,
980.7627,Log,Start of delay period of trial 29,
984.795,Log,End of delay period of trial 29,
985.7615,Log,leftTurn was pressed.,
986.7779,Log,leftTurn was pressed.,
987.4611,Log,rightTurn was pressed.,
988.4276,Log,rightTurn was pressed.,
989.1273,Log,forwardKey was pressed.,
991.0269,Log,forwardKey was pressed.,
991.3434,Log,Confirm button pressed: trial29,
992.1432,Log,leftTurn was pressed.,
994.326,Log,leftTurn was pressed.,
996.7088,Log,leftTurn was pressed.,
997.0421,Log,leftTurn was pressed.,
997.5586,Log,forwardKey was pressed.,
998.64,Log,Object Picked Up!,
998.64,Log,End of trial 29,
998.64,Log,Start of ITI period of trial29,
999.7414,Log,End of ITI period of trial29,
999.7414,Log,Cue start of trial 30,
1001.808,Log,Cue end of trial 30,
1001.808,Log,Start of delay period of trial 30,
1005.857,Log,End of delay period of trial 30,
1006.39,Log,leftTurn was pressed.,
1009.022,Log,leftTurn was pressed.,
1009.572,Log,forwardKey was pressed.,
1013.955,Log,forwardKey was pressed.,
1014.321,Log,Confirm button pressed: trial30,
1014.871,Log,leftTurn was pressed.,
1016.437,Log,leftTurn was pressed.,
1016.987,Log,forwardKey was pressed.,
1019.97,Log,forwardKey was pressed.,
1020.236,Log,rightTurn was pressed.,
1020.436,Log,rightTurn was pressed.,
1020.753,Log,forwardKey was pressed.,
1022.42,Log,Object Picked Up!,
1022.42,Log,End of trial 30,
1022.42,Log,Start of ITI period of trial30,
1023.486,Log,End of ITI period of trial30,
1023.486,Log,Cue start of trial 31,
